Grant.Application.ID,Sponsor.Code,Grant.Category.Code,Contract.Value.Band...see.note.A,RFCD.Code.1,RFCD.Percentage.1,SEO.Code.1,SEO.Percentage.1,Person.ID.1,Role.1,Year.of.Birth.1,Number.of.Successful.Grant.1,Number.of.Unsuccessful.Grant.1,Start.Year,Grant.Status
1,4D,10A,A ,280199.0,0.9656194378925351,700299.0,1.0968682807632335,40572.0,CHIEF_INVESTIGATOR,0.2873148138032152,-0.8034048759892362,-0.7569548971578205,2005,1
2,2B,10A,B ,280103.0,-1.743389846604405,700103.0,-0.8440344666509956,9067.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.8034048759892362,-0.7569548971578205,2005,1
3,29A,10B,A ,321004.0,-0.5823858675342879,730105.0,-0.45585391716814977,5967.0,CHIEF_INVESTIGATOR,-0.7981292358120862,-0.8034048759892362,-0.7569548971578205,2005,1
4,40D,10B,C ,270602.0,-0.9693871938909937,730106.0,-0.06767336768530394,78782.0,PRINCIPAL_SUPERVISOR,-0.7981292358120862,-0.8034048759892362,-0.7569548971578205,2005,1
5,59C,10A,A ,260500.0,-1.5885893160617228,770199.0,1.0968682807632335,13042.0,CHIEF_INVESTIGATOR,0.2873148138032152,-0.8034048759892362,-0.7569548971578205,2005,0
6,4D,10A,A ,321204.0,0.9656194378925351,730211.0,1.0968682807632335,301472.0,CHIEF_INVESTIGATOR,-1.340851260619737,0.5401930361342677,-0.7569548971578205,2005,1
7,2B,10A,A ,270708.0,-0.9693871938909937,770703.0,-0.45585391716814977,74292.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.8034048759892362,-0.7569548971578205,2005,0
8,28D,30B,A ,321405.0,0.9656194378925351,730303.0,1.0968682807632335,1642.0,CHIEF_INVESTIGATOR,0.2873148138032152,-0.8034048759892362,0.30784390068972856,2005,0
9,2B,10A,H ,260108.0,-0.9693871938909937,780104.0,1.0968682807632335,1012.0,CHIEF_INVESTIGATOR,-1.8835732854273874,-0.8034048759892362,-0.7569548971578205,2005,1
10,2B,10A,A ,270708.0,-1.3563885202476995,770503.0,-0.45585391716814977,89462.0,CHIEF_INVESTIGATOR,-3.5117393598503397,-0.8034048759892362,-0.7569548971578205,2005,1
11,2B,10A,G ,230111.0,-0.5823858675342879,740301.0,1.0968682807632335,67272.0,CHIEF_INVESTIGATOR,0.2873148138032152,-0.8034048759892362,-0.7569548971578205,2005,1
12,136D,30B,A ,270603.0,-2.130391172961111,730106.0,-1.6203955656166873,1797.0,CHIEF_INVESTIGATOR,-0.2554072110044355,0.5401930361342677,1.7275756311531272,2005,0
13,4D,10A,A ,320702.0,0.9656194378925351,730104.0,1.0968682807632335,73882.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.13160591992748422,-0.4020219645419708,2005,1
14,4D,10A,A ,291599.0,-0.9306870612553231,730199.0,1.0968682807632335,38457.0,CHIEF_INVESTIGATOR,0.8300368386108659,-0.8034048759892362,-0.7569548971578205,2005,0
15,2B,10A,A ,280203.0,-1.3563885202476995,700103.0,-0.8440344666509956,9067.0,CHIEF_INVESTIGATOR,-0.2554072110044355,1.2119919921960196,0.30784390068972856,2005,1
16,100D,10B,A ,321099.0,0.9656194378925351,730111.0,1.0968682807632335,69482.0,CHIEF_INVESTIGATOR,0.2873148138032152,-0.8034048759892362,-0.4020219645419708,2005,0
17,1A,10A,A ,270603.0,-1.6272894486973934,730116.0,-1.5039414007718335,1797.0,CHIEF_INVESTIGATOR,-0.2554072110044355,0.5401930361342677,1.7275756311531272,2005,0
18,21A,50A,A ,300903.0,-1.6272894486973934,759900.0,-1.5039414007718335,26882.0,CHIEF_INVESTIGATOR,-1.340851260619737,-0.13160591992748422,-0.7569548971578205,2005,1
19,2B,10A,F ,300508.0,-1.3563885202476995,780105.0,1.0968682807632335,69517.0,PRINCIPAL_SUPERVISOR,-1.340851260619737,-0.8034048759892362,-0.7569548971578205,2005,1
20,24D,30B,A ,380103.0,0.9656194378925351,730211.0,1.0968682807632335,592577.0,CHIEF_INVESTIGATOR,1.3727588634185166,-0.8034048759892362,-0.4020219645419708,2005,0
21,148D,30B,A ,270103.0,-2.130391172961111,730108.0,-1.2322150161338414,15282.0,CHIEF_INVESTIGATOR,0.2873148138032152,-0.13160591992748422,-0.4020219645419708,2005,1
22,12D,30B,A ,370107.0,0.9656194378925351,759999.0,1.0968682807632335,25947.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.13160591992748422,-0.4020219645419708,2005,0
23,62B,10B,A ,321021.0,-1.3563885202476995,730211.0,1.0968682807632335,9067.0,CHIEF_INVESTIGATOR,-0.2554072110044355,1.2119919921960196,0.30784390068972856,2005,0
24,2B,10A,D ,291801.0,-0.5823858675342879,671403.0,-1.2322150161338414,4902.0,CHIEF_INVESTIGATOR,-1.340851260619737,-0.13160591992748422,-0.7569548971578205,2005,1
25,138B,30B,A ,330305.0,0.9656194378925351,740301.0,1.0968682807632335,78947.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.13160591992748422,-0.4020219645419708,2005,1
26,4D,10A,A ,320702.0,0.021403068362822138,730108.0,-0.029611097496970693,36527.0,CHIEF_INVESTIGATOR,-0.7981292358120862,-0.13160591992748422,0.6627768333055782,2005,0
27,4D,10A,C ,320702.0,0.021403068362822138,730108.0,-0.029611097496970693,16137.0,CHIEF_INVESTIGATOR,-1.340851260619737,-0.13160591992748422,1.0177097659214278,2005,0
28,4D,10A,A ,270299.0,0.9656194378925351,730108.0,0.3205071817975419,20927.0,CHIEF_INVESTIGATOR,0.2873148138032152,-0.8034048759892362,-0.4020219645419708,2005,0
29,60D,30D,A ,270603.0,-0.9693871938909937,730106.0,1.0968682807632335,1797.0,CHIEF_INVESTIGATOR,-0.2554072110044355,0.5401930361342677,1.7275756311531272,2005,0
